HUB ID,Location,Name,Sitewide?,Affected item,Additional Elements,Component,Description of item/issue,WCAG Guideline,Affected Users,Recommended Fix,Priority,Issue Resolved Date,Category,Category ID,Common Issue ID,Allyant Status,Client Status,Client Sprint,Client Release,Client Assignee,Client Source ID,Ready for QA,High Risk,Last Comment,Last Comment Timestamp,Last Comment Email,Created Session,Last Updated Session,Last Screenshot Link,All Screenshots,Issue Link,Related Knowledge Base Articles
2,https://bodybio.com/,Homepage,Yes,Skip to content link,,Header,"This ""Skip to Main Content"" link does not correctly set focus for users when it is selected. ",2.4.3 (WCAG 2.0 A),"Motor / Dexterity,Visual","Ensure that when this element is selected that focus is set to the start of the main content. To do so, target the `ID` of the `<main>` tag, or fire a `.focus()` event on that element so screen reader users begin reading the page from there. The element receiving focus will need a `tabindex` of `-1`, or will need to be natively focusable by the browser.",Serious,,Focus,2,572,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1627249,https://hub.accessible360.com/screenshots/1627249,https://hub.accessible360.com/issues/574856/edit,
3,https://bodybio.com/,Homepage,Yes,Search input field,,Header,Invisible elements should not receive focus or be visible to screen reader users.,4.1.2 (WCAG 2.0 A),"Motor / Dexterity,Visual","Use standard CSS techniques, such as `display:none;` to hide all non-visible content.",Serious,,Focus,2,82,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629507,https://hub.accessible360.com/screenshots/1629507,https://hub.accessible360.com/issues/574960/edit,https://hub.accessible360.com/kb/articles/145
5,https://bodybio.com/,Homepage,Yes,"""Supplements"" and ""Learn"" navigation menus",<div> wrapping Account button,Header,Unnecessary ARIA attributes can cause unexpected behavior for screen reader users.,4.1.2 (WCAG 2.0 A),Visual,"The presence of an unnecessary ARIA attribute can create unexpected behavior across various configurations. Remove the `aria-haspopup` attribute from the element.

",Warning,,ARIA,95,349,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629554,"https://hub.accessible360.com/screenshots/1629623, https://hub.accessible360.com/screenshots/1629554",https://hub.accessible360.com/issues/575013/edit,https://hub.accessible360.com/kb/articles/1001
6,https://bodybio.com/,Homepage,Yes,"""Supplements"" and ""Learn"" navigation menus",Account button,Header,Navigation menus that open on hover must be able to be triggered by keyboard and screen reader users.,2.1.1 (WCAG 2.0 A),"Motor / Dexterity,Visual","Depending on the desired functionality of the menu, there are two approaches that can be taken for the top-level elements:

* If the top-level navigation item only actuates a menu and **does not** navigate to a new page when activated, mark it up as a button (`<button>`). See [this code sample](https://hub.accessible360.com/kb/articles/529#heading-menubar-where-menu-triggers-are-buttons) for guidance.
* If the top-level navigation item must link to a new page **and** actuate a menu, add an adjacent button that actuates the menu. See [this code sample](https://hub.accessible360.com/kb/articles/529#heading-menubar-where-menu-triggers-use-both-a-link-and-a-button) for guidance.
* If styling constraints do not allow for a visible button, this button could be visually hidden by default and become visible only when receiving focus, as shown in this [code sample](https://hub.accessible360.com/kb/articles/529#heading-menubar-where-menu-triggers-use-a-link-and-a-button-that-becomes-visible-on-focus).",Critical,,Menus,111,500,Open,Open,,,,,,Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629559,https://hub.accessible360.com/screenshots/1629559,https://hub.accessible360.com/issues/575014/edit,https://hub.accessible360.com/kb/articles/529
7,https://bodybio.com/,Homepage,Yes,"""Supplements"" and ""Learn"" navigation menus",Account button,Header,Navigation menus must not expand automatically on focus.,4.1.2 (WCAG 2.0 A),"Motor / Dexterity,Visual","Ensure that navigation menus only expand when the user triggers an element to expand it. You may choose to have menus expand/collapse on hover as well, but that is not required.",Serious,,Menus,111,523,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629561,https://hub.accessible360.com/screenshots/1629561,https://hub.accessible360.com/issues/575015/edit,https://hub.accessible360.com/kb/articles/529
8,https://bodybio.com/,Homepage,Yes,"""Supplements"" expanded > ""Best Sellers"", ""Health Care"" and ""Top Blog Posts""",,Header,Text that functions as a heading should be marked up as such.,1.3.1 (WCAG 2.0 A),Visual,"Mark this text up as a heading.

Headings provide structure for screen reader users. When marking text up as a heading, verify that the page maintains a logical outline structure. For example; 

- Each page needs a single `<h1>` heading that describes the main purpose of the page.
- An `<h2>` should head each major section of the page.
- Subsequent heading levels (`<h3>` through `<h6>`) should be related to a parent `<h2>` and should not skip heading levels.",Serious,,Headings,106,15,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629582,https://hub.accessible360.com/screenshots/1629582,https://hub.accessible360.com/issues/575016/edit,https://hub.accessible360.com/kb/articles/63
9,https://bodybio.com/,Homepage,Yes,"""Supplements"" expanded > image links",Bodybio image link,Header,Image links must be properly labeled for screen reader users.,2.4.4 (WCAG 2.0 A),Visual,"Based on the current content structure, select the appropriate option for remediation: 

- For each `<img>` element, adjust the `alt` to tell users where this link goes and/or what it does
- For each `<svg>` element, add `role=""img""` and `aria-labelledby` attributes to the `<svg>` tag, then add a `<title>` tag within the `<svg>` tag and give this `<title>` tag a unique `id` attribute. Ensure the `<title>` is a direct descendant of the `<svg>` tag and that the `<svg>` tag’s `aria-labelledby` attribute holds the `<title>` tag’s `id` value.
- If using a background image, change it from a CSS background image by using an `<img>` tag with an `alt` attribute then ensure it informs screen reader users where this link goes and/or what it does.
",Critical,,Images,1,116,Open,Open,,,,,,Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629608,"https://hub.accessible360.com/screenshots/1629590, https://hub.accessible360.com/screenshots/1629608",https://hub.accessible360.com/issues/575017/edit,"https://hub.accessible360.com/kb/articles/152, https://hub.accessible360.com/kb/articles/472"
10,https://bodybio.com/,Homepage,Yes,Search button,,Header,Elements that are marked up as links but function as buttons can cause confusion for screen reader users.,4.1.2 (WCAG 2.0 A),Visual,"Mark each element up as a `<button>`. Alternatively, give each element a `role=""button""` attribute. 

If you are using `role=""button""`, as a best practice, have the appropriate scripting in place so that the element can be selected by keyboard users using the `Space` bar. ",Warning,,Buttons,98,28,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629635,https://hub.accessible360.com/screenshots/1629635,https://hub.accessible360.com/issues/575021/edit,https://hub.accessible360.com/kb/articles/71
11,https://bodybio.com/,Homepage,Yes,Modal dialog,,Search,The modal dialog container is not labeled.,4.1.2 (WCAG 2.0 A),Visual,"Provide a [label using one of the following methods](https://hub.accessible360.com/kb/articles/820#heading-labelling). All of these solutions are acceptable, but some may be easier to implement than others depending on the content within the modal dialog.

1. Add a heading (preferably an `<h1>`, but `<h2>` is acceptable), then associate it with the modal dialog wrapper by giving that heading a unique `id` and referencing it with an `aria-labelledby` attribute on the wrapper element (the element with `role=""dialog""` and `aria-modal=""true""`).
  * If a heading describing the contents of the modal dialog already exists, you can use that heading instead.
  * This heading is most helpful when it is visible for all users, but for strict WCAG conformance it can be made visible only to screen reader users instead.
1. Alternatively, add an `aria-label` attribute to the wrapper element (the element with `role=""dialog""` and `aria-modal=""true""`) describing the purpose of the modal dialog.",Serious,,Modal Dialogs,112,44,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633766,https://hub.accessible360.com/screenshots/1633766,https://hub.accessible360.com/issues/575025/edit,"https://hub.accessible360.com/kb/articles/820, https://hub.accessible360.com/kb/articles/923"
12,https://bodybio.com/,Homepage,Yes,Modal dialog,,Search,Closing this modal dialog does not return the user to the element that opened it.,2.4.3 (WCAG 2.0 A),"Motor / Dexterity,Visual","When this modal dialog closes, return focus to the element that triggered this modal dialog to open.

If this element is no longer available on the page, then focus should be moved to another element as close as possible to where that element was.

If this modal dialog was opened automatically when the page loaded, then move focus on to the `<body>` element.",Serious,,Modal Dialogs,112,46,Open,Open,,,,,,,,,,Audit Session,Audit Session,,,https://hub.accessible360.com/issues/575026/edit,"https://hub.accessible360.com/kb/articles/114, https://hub.accessible360.com/kb/articles/820"
